countryCode,bathingWaterIdentifier,groupIdentifier,nameText,specialisedZoneType,geographicalConstraint,lon,lat,bwProfileUrl,quality1990,quality1991,quality1992,quality1993,quality1994,quality1995,quality1996,quality1997,quality1998,quality1999,quality2000,quality2001,quality2002,quality2003,quality2004,quality2005,quality2006,quality2007,quality2008,quality2009,quality2010,quality2011,quality2012,quality2013,quality2014,quality2015,quality2016,quality2017,quality2018,monitoringCalendar2018,management2018,quality2019,monitoringCalendar2019,management2019,quality2020,monitoringCalendar2020,management2020
DK,DKBW377,,"LISELEJE, OFFENTLIG BADESTRAND",coastalBathingWater,FALSE,11.96752,56.01606,https://pulsproddatasto.blob.core.windows.net/files/uylwxcq3.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW393,,TISVILDELEJE,coastalBathingWater,FALSE,12.05532,56.05543,https://pulsproddatasto.blob.core.windows.net/files/fic4qyc1.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW405,,HØJSTRUP STRAND,coastalBathingWater,FALSE,12.59105,56.05252,https://pulsproddatasto.blob.core.windows.net/files/dr1zzpkz.pdf,,Good or Sufficient,Poor,Good or Sufficient,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW23,,SANDVIG,coastalBathingWater,FALSE,12.1224,55.06232,https://pulsproddatasto.blob.core.windows.net/files/yts2vp5r.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW32,,FREDERIKSDAL FRIBAD,lakeBathingWater,FALSE,12.4429,55.78643,https://pulsproddatasto.blob.core.windows.net/files/yp5shye0.pdf,,Good or Sufficient,Poor,Excellent,Excellent,Poor,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW362,,"BURESØ, BADEPLADS VEST",lakeBathingWater,FALSE,12.20996,55.82927,https://pulsproddatasto.blob.core.windows.net/files/bmn3vz5d.pdf,,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW378,,LILLE KULGAB,coastalBathingWater,FALSE,11.9964,56.0267,https://pulsproddatasto.blob.core.windows.net/files/kha55kfo.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not classified,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW39,,"ISHØJ STRAND, UD FOR JÆGER SØ",coastalBathingWater,FALSE,12.38672,55.6029,https://pulsproddatasto.blob.core.windows.net/files/pz22i5uh.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Good or Sufficient,Good,Good,Good,Good,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW408,,NORD FOR ESPERGÆRDE HAVN,coastalBathingWater,FALSE,12.56264,55.99397,https://pulsproddatasto.blob.core.windows.net/files/lzxn40kh.pdf,,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Poor,Excellent,Excellent,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Good or Sufficient,Good or Sufficient,Good or Sufficient,Sufficient,Good,Good,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW41,,"HÅRBØLLE PYNT, CAMPING",coastalBathingWater,FALSE,12.15311,54.88141,https://pulsproddatasto.blob.core.windows.net/files/jim14gmq.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Good or Sufficient,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW10,,"DRAGØR SØBAD, NORD",coastalBathingWater,FALSE,12.67585,55.58703,https://pulsproddatasto.blob.core.windows.net/files/mliz5nyr.pdf,,,,,,,,,,,,,,,,,,Excellent,Excellent,Excellent,Excellent,Not classified,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW1012,,SJØRUP SØ,lakeBathingWater,FALSE,9.39718,56.86988,https://pulsproddatasto.blob.core.windows.net/files/iuiqaxlt.pdf,,Not classified,Not classified,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW1019,,THORSØBADET,lakeBathingWater,FALSE,9.55725,56.12843,https://pulsproddatasto.blob.core.windows.net/files/qwahtleh.pdf,,Good or Sufficient,Excellent,Good or Sufficient,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Good or Sufficient,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW319,,HALD SØ - DOLLERUPVEJ,lakeBathingWater,FALSE,9.33313,56.36723,https://pulsproddatasto.blob.core.windows.net/files/a3dxk2oq.pdf,,Not classified,Not classified,Not classified,Not classified,Not classified,Not classified,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW326,,MELSTED,coastalBathingWater,FALSE,14.98351,55.20138,https://pulsproddatasto.blob.core.windows.net/files/ewufhj3m.pdf,,Good or Sufficient,Poor,Good or Sufficient,Excellent,Good or Sufficient,Good or Sufficient,Good or Sufficient,Poor,Poor,Good or Sufficient,Good or Sufficient,Good or Sufficient,Poor,Excellent,Good or Sufficient,Poor,Poor,Poor,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Good,Sufficient,Sufficient,Sufficient,Sufficient,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored
DK,DKBW329,,LILLE SANDKÅS,coastalBathingWater,FALSE,14.81875,55.25804,https://pulsproddatasto.blob.core.windows.net/files/xymvb2tz.pdf,,Good or Sufficient,Excellent,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW35,,KLINTHOLM ØST,coastalBathingWater,FALSE,12.47398,54.95134,https://pulsproddatasto.blob.core.windows.net/files/xvg5ee2o.pdf,,Good or Sufficient,Excellent,Excellent,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Poor,Good or Sufficient,Excellent,Poor,Excellent,Poor,Good or Sufficient,Excellent,Excellent,Good,Excellent,Good,Good,Good,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW354,,ONSBÆK,coastalBathingWater,FALSE,14.72905,55.07572,https://pulsproddatasto.blob.core.windows.net/files/itnu4xmb.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW376,,HYLLINGEBJERG,coastalBathingWater,FALSE,11.93818,56.00636,https://pulsproddatasto.blob.core.windows.net/files/vap4y0kx.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW406,,MARIENLYST BADESTRAND,coastalBathingWater,FALSE,12.60785,56.04348,https://pulsproddatasto.blob.core.windows.net/files/fgcbnn2m.pdf,,Poor,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW410,,BADEBRO SYD FOR ESPERGÆRDE HAVN,coastalBathingWater,FALSE,12.56168,55.99153,https://pulsproddatasto.blob.core.windows.net/files/yrxrzk1e.pdf,,Poor,Good or Sufficient,Excellent,Excellent,Poor,Excellent,Excellent,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Good,Good,Excellent,Good,Excellent,Excellent,Good,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW411,,"OFF. STRAND VED STRANDVEJEN 384, BADEBRO",coastalBathingWater,FALSE,12.55649,55.98729,https://pulsproddatasto.blob.core.windows.net/files/occvn3ut.pdf,,Poor,Good or Sufficient,Excellent,Excellent,Poor,Good or Sufficient,Excellent,Poor,Good or Sufficient,Good or Sufficient,Good or Sufficient,Good or Sufficient,Good or Sufficient,Poor,Excellent,Good or Sufficient,Good or Sufficient,Good or Sufficient,Poor,Good or Sufficient,Poor,Poor,Sufficient,Good,Good,Good,Good,Good,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored,Good,1 - Implemented,1 - Continuously monitored
DK,DKBW429,,KULHUSE STRAND VEST FOR HAVNEN,coastalBathingWater,FALSE,11.90634,55.93484,https://pulsproddatasto.blob.core.windows.net/files/5jpgqe4o.pdf,,Not classified,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW460,,SKÅSTRUP V,coastalBathingWater,FALSE,10.00245,55.54047,https://pulsproddatasto.blob.core.windows.net/files/cxqrumqz.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Good,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW470,,SØNDER ÅBY STRAND,coastalBathingWater,FALSE,9.84187,55.35055,https://pulsproddatasto.blob.core.windows.net/files/byehur1z.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW471,,BJERGHAMMER,coastalBathingWater,FALSE,10.13246,55.15606,https://pulsproddatasto.blob.core.windows.net/files/ndnbhpx4.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW486,,BØGEBJERG,coastalBathingWater,FALSE,10.2936,55.07196,https://pulsproddatasto.blob.core.windows.net/files/2kxzgkmw.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW504,,LØGISMOSE SKOV,coastalBathingWater,FALSE,10.07618,55.17568,https://pulsproddatasto.blob.core.windows.net/files/ue1v4d1b.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW538,,GALS KLINT,coastalBathingWater,FALSE,9.67868,55.51614,https://pulsproddatasto.blob.core.windows.net/files/f3rkbemo.pdf,,Good or Sufficient,Good or Sufficient,Good or Sufficient,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good,Sufficient,Sufficient,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW704,,HASLEVGAARDE BAKKER,coastalBathingWater,FALSE,10.29846,56.77087,https://pulsproddatasto.blob.core.windows.net/files/vqwp5j3v.pdf,,Not classified,Not classified,Not classified,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW765,,SANDERSVIG SYD,coastalBathingWater,FALSE,9.64674,55.33348,https://pulsproddatasto.blob.core.windows.net/files/v1fpdykj.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW232,,LILD STRAND,coastalBathingWater,FALSE,8.96426,57.15519,https://pulsproddatasto.blob.core.windows.net/files/0qcqdj33.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW236,,REFSHAMMER,coastalBathingWater,FALSE,8.86219,56.78015,https://pulsproddatasto.blob.core.windows.net/files/leuygjc0.pdf,,Good or Sufficient,Excellent,Good or Sufficient,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Poor,Excellent,Good or Sufficient,Good or Sufficient,Excellent,Good,Good,Good,Good,Good,Good,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
DK,DKBW276,,HOSTRUP STRAND,coastalBathingWater,FALSE,8.74737,56.56621,https://pulsproddatasto.blob.core.windows.net/files/dcaocxhv.pdf,,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Good or Sufficient,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored,Excellent,1 - Implemented,1 - Continuously monitored
